example_id,gold_intent,predicted_intent,customer_message,useful_evidence,evidence_1_customer,evidence_1_response,evidence_1_similarity,evidence_2_customer,evidence_2_response,evidence_2_similarity,evidence_3_customer,evidence_3_response,evidence_3_similarity,evidence_4_customer,evidence_4_response,evidence_4_similarity,evidence_5_customer,evidence_5_response,evidence_5_similarity
96,Flight Disruption,Flight Disruption,"6. I honestly have never had a worse experience than this evening with @AmericanAir, and that includes a 12-Hour flight delay with Southwest I once had. AA is an embarrassment &amp; the AA staff @150414 are truly awful. Honestly this has to be a joke.",,"I honestly have never had a worse experience than this evening with @AmericanAir, and that includes a 12-Hour flight delay with Southwest I once had. AA is an embarrassment &amp; the AA staff @150414 are truly awful. Honestly this has to be a joke.",@225453 We're truly sorry that your travel has been affected. We've got an estimated departure time of 12:30a.,0.861588180065155,@AmericanAir AA 860 and AA 4620 ... half the flights on our trip were troublesome...,"@188446 That sure isn't the record we want to have with you. If you're still needing assistance, please DM your locator and details.",0.7322288155555725,@AmericanAir Ahhh. Now I remember why I haven’t flown @AmericanAir in over a year.... another delayed flight (AA 19 now - AA1036 this morning)   I’ll be back on @116450 in a few weeks.,@229780 We prefer on-time departures as well. We're sorry for the delays today.,0.6742979288101196,@AmericanAir #flight2328 1 hour delay. Ugh. Why are AA flights always delayed? https://t.co/0OwFIifhzi,@210463 We do our best to notify you as quickly as we can. Our apologies for any inconvenience caused.,0.661112368106842,@AmericanAir worst airline ever. Would never recommend it to a friend or family. They have so many delays and they would do nothing to improve themselves. Been on the flight a few times and almost every time they would delay from 30-60min #worstairline #AmericanAirlines,@146221 We do all possible to avoid delays and we're so sorry your travel has been affected. We'd love another chance to impress you.,0.6505017280578613
16,Seats & Upgrades,Other / General Support,17. @AmericanAir I don’t understand why you’re willing to put me in a hotel tonight but not willing to get me a rental car. #worstever,,@AmericanAir No. Already paid for a hotel tonight in San Diego.,"@155558 If you don't end up using that leg then, you can submit for a refund upon arrival into LAX via this link: https://t.co/xM8Vkc7BvM",0.4644732177257538,@AmericanAir You don't even let us choose a date. we have to go the 12th-16?! The country will still be in morning!,@181578 We've responded to your DM. Please take a look when you get a chance.,0.43469661474227905,"@AmericanAir Give me my money back, I'd rather drive at this point",@148698 If you're no longer going to travel with us. Please let our team know and request a refund here: https://t.co/xM8Vkc7BvM,0.42775487899780273,@AmericanAir 10-5-17,@183493 Thanks! We'll pass this along and hope that you have an awesome day.,0.4148953855037689,Officially stranded in #Chicago. But with views like this even I can't be too mad @AmericanAir ... but imma need my hotel reimbursed - stat. https://t.co/HXOJdjr8F8,"@197695 That's a beautiful sunset, Rita. We're so sorry that you're delayed. Please work with our team at the airport.",0.40911751985549927
31,Other / General Support,Other / General Support,2. @AmericanAir spent 2.5 hours on hold today and still I never spoke to anyone...halp?,,@AmericanAir spent 2.5 hours on hold today and still I never spoke to anyone...halp?,@225459 We're glad to take a look. Please DM your record locator and details.,0.9781086444854736,"@americanair After 3 hours total, 45 minutes on hold with customer service, and two cancelled trips later, I still don't have a flight home for the holidays. Get it together guys 😣",@153487 We're here to help in any way we can. Please DM your record locator and let us know what you're needing.,0.5689858198165894,@AmericanAir ........still....on....hold.....they made the booking. I am trying to pay.....so #frustrating.,@116144 We're sorry for the long wait. The next available agent will be with you as soon as possible.,0.5685887932777405,"been over a week and @AmericanAir has yet to responded to emails, tweets, and phone calls. Their customer service is severely lacking.","@212401 If you emailed Customer Relations, please DM the reference number and we can check on an update for you.",0.5627327561378479,@AmericanAir Now at over 5 hours and still not even on a plane,@143990 We're so sorry for the wait. We see you're protected on the next available flight just in case.,0.5486045479774475
159,Loyalty / AAdvantage,Booking & Payment,2. @AmericanAir i sent an email with a copy of my tickets to correct my miles on 10/25 and i still waiting for an answer ...,,@AmericanAir Perfect!! Booking my tickets now!,@180557 Awesome! We'll be looking forward to seeing you.,0.6440898776054382,@AmericanAir Ill buy my ticket the first week of November 😎💖,@135984 You're welcome to bring it and use it on board!,0.634711742401123,@AmericanAir So much for help. You wanted to charge us 1500$ each.. AFTER we paid for our tickets??! This was YOUR mistake NOT ours,@178244 We're working with your sister and we've requested additional information. Please have her send us a DM with more info.,0.5951004028320312,@AmericanAir Need help retrieving a ticket number for an Oct 2017 AAdvantage award ticket. Can’t locate it online. Can you assist?,"@138466 We're happy to help, Naomi. Please, DM your date of travel, location, and name as it appears on your ticket. We'll take a look.",0.5784038305282593,@AmericanAir Average price of ticket out: $2500 one way.,@172677 We've capped our fares for nonstop flights at $99 for Puerto Rico through the 8th of Oct. Book travel here: https://t.co/iJWiiSmxCO,0.5739015340805054
129,Baggage,Baggage,3. Dear gate agent at @AmericanAir. My iPad is not a carry on. Like it isn’t. My water bottle is bigger. For what reason was it necessary to make me step out of line to put it into my book bag before you allowed me to board. Come on now y’all.,,Dear gate agent at @AmericanAir. My iPad is not a carry on. Like it isn’t. My water bottle is bigger. For what reason was it necessary to make me step out of line to put it into my book bag before you allowed me to board. Come on now y’all.,@225232 Thanks for helping out our team to expedite the boarding process. We appreciate it.,0.8974512815475464,"@AmericanAir I left iPad on plane to #DCA, gate agent called &amp; said he found it. 1day later it's missing and lost in your processes. WTF","@162595 We want to get you reunited, had you filed a claim with our Lost and Found team? https://t.co/JsEGHYNki5 Please follow-up via DM.",0.5258685350418091,"@AmericanAir your BOS agents won't let me check my bag because I have ""too many iPhones"" (4) Citing FAA rules.Wrong. https://t.co/jZaP87Mjix",@215484 We're sorry you're having trouble. Please continue working with our team at the airport to get this resolved.,0.510876476764679,Forced to gate check my bag despite there being plenty of overhead space last two times I gate checked you lost my bag... I will never fly @AmericanAir again what a garbage company,"@224395 The overhead bins are shared space, and we try to allow everyone the opportunity to bring an item on board as often as possible.",0.49324458837509155,"@AmericanAir new computer selected bag policy SUCKS! Took our bag, that fit, and gate agents were terribly rude and profane. Look at all this empty space! Flight attendants are awesome though.  And I am in group 7!!! #MIAtoDCA https://t.co/n0iODqQpoY","@157797 We're sorry you had to check your bag this evening, please provide your flight number so we can forward along your feedback.",0.4774327278137207
116,Seats & Upgrades,Other / General Support,5. The next two weeks (8 flights) will be the last on @AmericanAir ! Being a platinum member means nothing! Therefore I’ll move my business 👍🏼,,3 more flights then I am never choosing American Airlines again unless only choice. Horrible customer service!! @AmericanAir,"@210458 We see that the EP desk did notate your reservation, but we're not technically suppose to make name changes to 3rd party tickets, Blake.",0.5826195478439331,@AmericanAir I have flown @AmericanAir 15 times in the past 12 months and only departed on schedule 4 times.,@116569 Our crew is there to serve you and not deceive you in any way. We're also here to help so please share your flight details via DMs.,0.5818445086479187,I received more appreciation on one flight for my business from @131657 than I have for many flights from @AmericanAir —and I’m an EP.,@198685 You're well loved and we're honored to have you as loyal elite customer. If you need anything we're here to help!,0.5610668659210205,Now all flights out are almost double what we paid months ago. Had to book with @AmericanAir last minute. Super helpful. Would recommend.,@126473 We're excited to be your ride through the skies today and look forward to many more #AAdventures!,0.5250378251075745,@AmericanAir @3894 all you beautiful airlines out there: PLEASE CUT YOUR PLASTIC BUDGET! give each person only 1 or ban it totally!,@170374 We're working on our carbon footprint. Check out the following with some great information. https://t.co/pLPtpavkpL,0.520823061466217
70,Refund & Compensation,Other / General Support,5. Not at all happy with my interaction with @AmericanAir .  #CustomerService is an oxymoron with them.  #misleading,,Not at all happy with my interaction with @AmericanAir .  #CustomerService is an oxymoron with them.  #misleading,@196638 We're sorry this has been your experience. Please let us know if we can help in someway.,0.7470489740371704,@AmericanAir wow... just had the worst customer service interaction in my life.,@194616 We strive to provide excellent customer service and apologize if that wasn't your experience. How can we help you today?,0.5792847871780396,@AmericanAir You guys really know how to take of your customers.,"@216595 We're always happy to help whenever and however we can, please have them reach out to us directly.",0.5762633085250854,@AmericanAir I am the customer,"@154765 You mentioned you weren't on that flight and the name doesn't match, but we'll forward these comments. Our apologies again.",0.5760802030563354,@AmericanAir always disappointing in customer service,@181192 We expect our team to be professional and courteous at all times and we're sorry you've had this experience.,0.5739178657531738
171,NON_SUPPORT,Other / General Support,2. @AmericanAir  just brought the jet bridge back and opened the door in lieu of leaving an elderly couple @124202 - good to see people taking care of people,,@AmericanAir has 15 people standing in the jet bridge because our row doesn't exist. Unbelievable.,@157573 We'll get everything sorted and have you on the plane ASAP.,0.531667172908783,.@AmericanAir  flt #6051 SJC  TO LAX stellar first cabin service. Thank you!,@190997 We have the best crews in the biz! We'll pass your kind words to our team and hope you have a great weekend.,0.5213184952735901,"@AmericanAir in addition to the rude flight attendant, we now have 3 hrs dalay! https://t.co/VDZGzcUVpp",@137443 Our team is working to get things squared away and you on your way ASAP.,0.5189866423606873,@AmericanAir can’t wait to join you guys as a flight attendant,@194696 We'd love to have you become a part of our fAAmily!,0.5105423331260681,@AmericanAir y’all need some help on them customer flight service. #tbh,"@214170 We strive to give you a great experience, every time. We're very sorry if that didn't happen today.",0.5089759826660156
175,Baggage,Baggage,6. @AmericanAir oneworld ruby member but had to pay for 1st checked bag at machine. Is a refund possible for the bag?,,@AmericanAir oneworld ruby member but had to pay for 1st checked bag at machine. Is a refund possible for the bag?,"@171467 We'll be happy to take a look, Sven. Please meet us in DM with your record locator.",0.9955661296844482,@AmericanAir How do I get my checked bag fee returned?,@156973 Hi there! The checked bag charge is nonrefundable.,0.7186832427978516,@AmericanAir @2189 $50 to check a bag is robbery when your rules never state you must check carry on bags at counter. I want a refund. #robbery,@124033 When booking through our site there are several prompts when purchasing Basic Economy. https://t.co/MKvFFVWJdz,0.6569948196411133,"@AmericanAir What is the status of my baggage fee refund?

And where are the bags now?

A little customer service would go a long way here.","@241461 Aaron, we're not able to provide bag refunds here. You'll need to continue to work with our Baggage team for more info at 800-535-5225.",0.6290178298950195,"@AmericanAir  Today, double charged for a bag. I was told same day service would get a waiver on the 2nd fee. It is always something.",@129084 The baggage charges would apply to each direction you travel. We're sorry that you weren't aware of that.,0.6285966634750366
46,Onboard Services,Onboard Services,15. @AmericanAir you have passengers (including my senior aged mother) who have been sitting on an airplane for two hours and counting @129841 without offering anything to drink. This is abusive. Why aren’t they being given water??,,@AmericanAir Great way to start the flight AA. VERY limited food &amp; beverage services for entire flight cross country. MAYBE you should have told us passenger PRIOR to boarding!  This sucks especially for those of us traveling with young kids,"@154310 FOod and beverage does help pass the time. We see your DM , and will reply back to you soon.",0.5267002582550049,@AmericanAir 2223 they have been providing updates on board (the pilot has been great) and I can understand if they didn’t think it would go on this long but to not provide any water or anything is unacceptable.,@222275 Our team has to be ready the moment they get the okay to depart. Beverage service will be provided once at cruising altitude.,0.5109401941299438,@AmericanAir waiting for the 3RD plane to come on my flight clt to NYC. Haven't been offered any snacks/water/compensation. DISAPPOINTED.,@180550 What's your flight number and we'll e happy to check for an update?,0.509307861328125,"@AmericanAir was a joke. 

For an 7h flight, I asked for a) a blanket, because it was freezing. They said they don't hand out blankets to economy passengers. 

And b) asked if they had food, they did not - only had crackers for $8. As a diabetic, this was really reassuring.","@236512 As an economy ticket holder, you're welcome to bring along a blanket or jacket, as well as some extra snacks for the trip if you'd like.",0.5038029551506042,@AmericanAir [3] to serve food not to take care of passengers. Totally very upset with it. That made me to sick from yesterday. Thanks,@170186 We always want to take great care of you while on board and we're so sorry you're not feeling well.,0.4787532091140747
67,Check-in & Airport,NON_SUPPORT,2. Thanks @AmericanAir for quickly resolving my TSA PreCheck issue! #greatcustomerservice https://t.co/Z1vBmUCb1g,,,,,,,,,,,,,,,,
183,NON_SUPPORT,Other / General Support,"4. A American renovou diversos lounges nos Estados Unidos. Apresentamos os novos lounges de Miami, Chicago e Los Angeles. Dá uma olhada como eles ficaram bonitos! @AmericanAir  https://t.co/XPTolbJp0P https://t.co/XCEC1dWchW",,@AmericanAir They said it’s a Flagship Lounge. Only for international travelers.,@158749 We've several lounges which caters for different customers. Here's how you can to access our Flagship Lounge https://t.co/1sXPsXdHzc.,0.5063378810882568,"En unos días más, dependiendo de cómo avance el reclamo, les contaré cómo nos robaron entre @AmericanAir y el Aeropuerto de Quito @10204","@158746 What's going on, Mano?",0.49794936180114746,Cambiará o devolverá el dinero @AmericanAir a las personas que quieran viajar a Las Vegas?,"@177083 We'll take a look, please DM your record locator.",0.49584540724754333,El descarado abuso de @AmericanAir con sus pasajeros y su ineptitud me tienen asombrado!!! Que empresa tan mala por Dios!!!,"@181385 What has you so upset, Edgardo? Please let us know how we can help.",0.4920942783355713,"Cmon @AmericanAir. You get rid of the admirals club at gate D35 in Miami??  If youre flying domestic, closest lounge is a good 15 min walk. #flagshiploungefail",@158749 The club at D30 is temporarily closed for some exiting renovations! We promise it will be worth the wait!,0.49054068326950073
166,NON_SUPPORT,Other / General Support,2. @AmericanAir basic economy is stupid. #ThereISaidIt,,@AmericanAir sympathetic and understanding.  Never Again# Awful Customer Service# GoodBye @AmericanAir You need to hire better people!!!,@180300 Rudeness isn't what we like to hear happened and our apologies this was your experience. DM your record locator and we'll take a look.,0.5166966319084167,How is @AmericanAir still in business given their rude staff and customer service. #shameful #americanairlinesucks,@124030 This is a restriction you agree upon when booking Basic Economy. You're welcome to see more info here: https://t.co/MKvFFVWJdz,0.516135036945343,"@AmericanAir was rude, unhelpful, and ripped us off, but @SouthwestAir overheard and hooked us up! #southwestisthebest",@195629 Great service is always what we're working to provide. Please let us know if we can help in someway.,0.489584743976593,@AmericanAir I wouldn’t consider any other airline. #loyAAlty,@213629 Have a great week! #fAAmily,0.4873201549053192,@AmericanAir What an insulting tweet.  I was HUNG UP ON.,@210713 We'd be happy to help you here if you're still needing assistance. Please DM your record locator and further details.,0.478687584400177
79,Flight Disruption,Other / General Support,4. @AmericanAir What’s up with American Airlines flight 1622? Sitting on tarmac w no explanation,,@AmericanAir y’all need some help on them customer flight service. #tbh,"@214170 We strive to give you a great experience, every time. We're very sorry if that didn't happen today.",0.6315733194351196,@AmericanAir Passengers missing international connections. Poor coordination and no help from the flight attendants. Get your shit together.,"@204572 Our apologies for this experience, Camille. If rebooking is needed, then please work with our airport team.",0.6283354163169861,This is why people HATE airlines. @AmericanAir used to be a quality airline. This is a ripoff.  Expensive and you get NOTHING. https://t.co/EIGYnMwtcp,@202442 Basic Economy fares give customers more options but regular Main Cabin fares are always still available: https://t.co/MKvFFVWJdz,0.6265156865119934,"@AmericanAir late flight, rude gate staff, have no idea what they are doing. Horrible customer service. Will avoid for future flights","@214347 These aren't the interactions we want you to have and we're sorry for the rudeness you encountered, Reza.",0.6234225034713745,@AmericanAir you are a dreadful airline. Customer for decades and you treat people and their belongings like this?!,@210854 We value your loyalty and don't like seeing you upset. Please share more info on how we can turn your impression of us around?,0.6215280294418335
187,Flight Disruption,Other / General Support,"4. Been sitting on this plane for over an hour. Not a great look, @AmericanAir.. 😐☹️👎",,@AmericanAir you couldn’t hold that plane 5 minutes for 15 people ??? 👎🏼👎🏼👎🏼👎🏼shame!,"@214780 Oh no! Lupe, have you guys been rebooked? Sometimes when there's a large group connecting we'll hold the plane for a bit.",0.5702519416809082,3 more flights then I am never choosing American Airlines again unless only choice. Horrible customer service!! @AmericanAir,"@210458 We see that the EP desk did notate your reservation, but we're not technically suppose to make name changes to 3rd party tickets, Blake.",0.5385234355926514,"Dear @AmericanAir. Some of your airplanes are really, really, uncomfortably out of date. Like the one I'm on right now ☹️","@179632 We're renewing our fleet with a new plane each week. We know you're going to love what's coming, Bob.",0.5133675336837769,@AmericanAir @3894 all you beautiful airlines out there: PLEASE CUT YOUR PLASTIC BUDGET! give each person only 1 or ban it totally!,@170374 We're working on our carbon footprint. Check out the following with some great information. https://t.co/pLPtpavkpL,0.5061851143836975,2 cancelled flights in one day. I will never fly @AmericanAir ever again. Worst customer service and apparently their planes don't work. https://t.co/35biA1dBDV,"@205151 We're very sorry for the extra travel time. DM your record locator, we'll be happy to assist with rebooking.",0.48938706517219543
178,Onboard Services,Seats & Upgrades,2. @AmericanAir My husband with our 1yr baby was refused a blanket cuz it was for first class only on a red eye flight #willneverhavemymoney,,@AmericanAir great job going 2 for 2 in ruining a family vacation. Bravo 👏,"@206529 We don't like the sound of that, what's going on and how can we help?",0.36508315801620483,"@AmericanAir My sons first flight alone @ age 16. Given a seat assignment, then took it away and said another passenger had to give theirs up for him to fly home for his sports tryout.  Happy Holidays @AmericanAir",@157792 We'd like to review and dig a little deeper to see what happened on your son's flight. Please DM your record locator and any other details.,0.338247150182724,@AmericanAir refused a seat to my niece this evening. Had 1 seat available for her to fly home to say goodbye to her dying Mudgie u suck!,@190301 We're sorry for her loss. Please have her reach out to us directly so we can take a closer look.,0.298498272895813,Empty seats all over this plane and my partner isn't allowed on...well done @AmericanAir 🙄💩 #flyingwhilegay,"@199918 We never like to leave anyone behind, Lisa. Did your partner miss the check-in time?",0.2980523705482483,Hey @AmericanAir I’m on the #FirstClass upgrade list for but how many seats are available? 🤔 #UselessInformation 🙄 https://t.co/PLbGWjXXaO,@188231 The number of seats can change and our gate folks to upgrade as many customers as they can. See you tonight.,0.2942199110984802
