example_id,conversation_root,message_count,conversation,support_type,intent,escalation,notes
1,390529,4,"1. @123552 Our Maintenance team is working hard to prepare for departure, Matthew. We'll have you airborne very soon!
2. @AmericanAir @AmericanAir pilot just announced “its a busy day @129841 and mechanic is on his way” guess 10:50 am departure won’t hold?
3. @123552 Safety is our top priority, so we'll continue pushing it back until it's safe to fly. Updates will be made here: https://t.co/hSJ3SkyGEd
4. @AmericanAir Andy update on 1622 ORD-SFO @129841",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
2,364922,2,"1. @202440 It certainly is a great day for flying and those views are stunning!
2. The Bighorn Mountains with just a little haze. #americanview @americanair https://t.co/am6nOmPefg https://t.co/imqkfiIB5I",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
3,496251,2,"1. @214516 Congratulations on reaching that #milestone and we have some #virtuallybubbly here for you! Thanks for your loyalty, Jennifer.
2. Yesterday I hit @americanair Executive Platinum. Naturally I was sitting in coach at the time. There was no Champagne involved.",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
4,30664,3,"1. @122751 Our apologies things aren't going as seamless as we planned. We'll have you where you need to be as quickly as we can.
2. @AmericanAir I'm just thankful I had no connections as others on our flight had issues. Phew!
3. Flight got delayed. Plane issues, got us new plane. But downgraded. No more TV. Thanks @AmericanAir 👎 #SadFace",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
5,201742,3,"1. @163653 What happened during your flight? Please DM details so we can forward it on to Flight Service.
2. @AmericanAir I'll do that
3. .@AmericanAir really really nasty first class flight attendant today on aa1685. Can't imagine how she got the job.",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
6,298117,3,"1. @187019 We offer free drinks and pretzels or Biscoff cookies in flight. Our sincere apologies for the delay.
2. @AmericanAir @delta brings you snacks at the gate if a flight is delayed. It beings a smile to my face.
3. @AmericanAir why is my flight always delayed? And where are my free snacks? @Delta would have hooked us up. https://t.co/cwR30DHGWg",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
7,517837,2,"1. @239417 Thanks for hanging in there with us. We're glad to see you've departed the gate and we'll have you #wheelsup soon.
2. 🖕🏻🖕🏻🖕🏻🖕🏻@AmericanAir   and your repetitive hour plus late departures and pissed off pilots",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
8,328156,6,"1. @176423 It's always an absolute pleasure flying with you and we love seeing you up front! Until next time.
2. @AmericanAir And as we were about to take off a delay!!! Did I jink this????
3. @176423 Oh no! Our team will be sure to get everything sorted and we'll have you wheels-up very soon.
4. @AmericanAir Back on track!!! Taking off! Wheeeeee! (Am I boring y'all yet!)
5. @176423 Yay! And of course not, your positivity is always appreciated.
6. Flawless flight on @AmericanAir! Thank you for upgrade on 5023. Great crew on both... 5433, too! &amp; @194233 greatest travel agent EVER!",SUPPORT,Seats & Upgrades,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
9,497892,6,"1. @233833 Our goal is for you to always have a great experience on board and we appreciate your loyalty, Bill.
2. @AmericanAir @233833 That’s it?
3. @AmericanAir Great automated response. #customerserviceisdead
4. @233833 We know upgrades are a desired benefit for our elites. Our team does all possible to upgrade as many as we can when space is available.
5. @AmericanAir For the crew?  I should know better...
6. I’m really not “Mr First Class”. But i travel a great deal, exclusively with @AmericanAir since your rule changes upgrades have disappeared.  Its interesting to find crew sitting in first class.  54 segments this year. And too many unsatisfactory experiences.",SUPPORT,Seats & Upgrades,ESCALATE,Support issue likely requires case-specific or human handling.
10,502764,2,"1. @235133 We're in the process of modernizing our fleet. We appreciate your feedback on how we can improve your experience!
2. Rarely travel on @AmericanAir &amp; now remember why. Strike 1) No blanket/pillow in coach (@Delta ✔️) Strike 2) No individual screens (@delta ✔️) Strike 3) No charging jacks (@Delta✔️).  SD-MIA is gonna be a long flight! 😭✈️",SUPPORT,Onboard Services,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
11,463639,2,"1. @225230 That's not what we like to hear. We hope you'll reconsider.
2. @AmericanAir  I will never fly with you again.",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
12,96063,8,"1. @136930 If you pull up that link, it does say that elite and eligible Citibank customers are exempt.
2. @AmericanAir Great thank you for confirming.
Does that apply to companions as well?
3. @136930 It applies to 4 companions in the same reservation traveling within the 50 US, Canada, Puerto Rico and https://t.co/1iva8gJ6HM Islands.
4. @AmericanAir Thank you.
So I guess the only difference then is the seat assignment (and .5 miles)?
5. @136930 Correct. Please make sure you take a look at the link provided. We want you to know of all restrictions under Basic Economy.
6. @AmericanAir Thanks.
Are there any exceptions for AA Credit Card holder?
Do you still get free checked bags?
7. @AmericanAir When flying Basic Economy with the AA CC do I still get free bags and carry-ons? Just for me of for companions as well?
Thanks.
8. @136930 When you're on a Basic Economy ticket, you're only allowed one small carry-on that fits under the seat. Look here: https://t.co/MKvFFVWJdz",SUPPORT,Baggage,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
13,308703,12,"1. @189711 We appreciate your honest feedback and we'll pass your comments on to our team. We're always looking for ways to improve.
2. @AmericanAir @189711 Time to take the decision making out of their hand and limit pricing and fees like we did in the 70's. Spur travel again.
#RegulateAir
3. @170351 @AmericanAir I would argue price caps and fed interference is why a flying in the US is utter shit now.  Baby boomers ruined everything good.
4. @189711 @AmericanAir Did you know in the 70's airlines couldn't charge you cancellation fees, baggage fees and deregulation brought us this expensive service
5. @170351 @AmericanAir Cancellation fees seem readonable, baggage fees = union labor costs, and airlines are probably the most regulated businesses.
6. @AmericanAir Just off the top of my head. For more ideas, my consulting fees are free travel vouchers.
7. @AmericanAir Oh, and if you could lobby the FAA to cut the regulatory burden for airlines in half to spur competition and break up your monopoly
8. @AmericanAir Some sort of empathy training for CSRs, outlets that work in terminals, ability to book flights on other airlines if flight status changes..
9. @AmericanAir Stop shrinking leg room, put the door closure time on tickets, not departure time with a 10 minute ""eff you"" period...
10. @AmericanAir Oh my, so so much. Push notifications when gates change, email ir text updates on plane status, staff that speak well...
11. @189711 That's not what we like to hear. How can we help, Ron?
12. Dear @AmericanAir your service is garbage, your app sucks, and your employees are intentionally unhelpful. Please go out of business. Thx",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
14,466935,2,"1. @226137 Flight 989 has backed out from the gate and will be wheels up soon!
2. @AmericanAir Flight 989 MIA-MVD is a bad joke from you AA. Delayed almost everyday, cancelled at least once a month!",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
