customer_text,americanair_response,customer_tweet_id,response_tweet_id,predicted_intent
@AmericanAir Erica on the lax team is amazing give her a raise ty,@115904 We'll be sure to pass along your kind words! #AATeam,997,996,Flight Disruption
@AmericanAir Could you have someone on your lax team available to guide me to my gate ASAP,@115904 Our apologies for the delay in responding to you. Have you made it to LAX? Let us know if you still need assistance.,999,998,Seats & Upgrades
Ben Tennyson and an American Airlines pilot. 🎃 #trunkortreat #halloween #2017 #diycostume #parenting @americanair … https://t.co/f1nNHQ0iLa https://t.co/lDViDkRdB1,"@115905 Aww, that's definitely a future pilot in the making! #HappyHalloween",1002,1001,Refund & Compensation
"@AmericanAir Right, but I earned those. I also shouldn’t have to pay to pass them to my own spouse. You need to change your program.",@115906 We're sorry for your frustration.,1004,1006,Booking & Payment
"I’m sorry, what? It’s going to COST me $50 to transfer 4,000 AA Advantage points to my spouse? @AmericanAir this is ridiculous!!",@115906 This is a great option for customers who want to share miles and it's cheaper than having to purchase them.,1005,1003,Flight Disruption
Heading to London tonight will be there for 5 days doing some exciting stuff:) @AmericanAir get the drinks ready I coming aboard:) JB,"@115907 It's always a pleasure to have you on board, John. Have a wonderful flight over the pond!",1009,1008,Booking & Payment
Check out these tiny trick-or-treaters all dressed up in our #NICU. Hey @AmericanAir! We have your youngest #pilot in training! #Halloween https://t.co/0C3aXJhiAg,"@115908 Pilots, Potter, Pumpkins and Skeletons...oh my! They're all adorable.",1062,1061,Check-in & Airport
"Thank you, @AmericanAir for playing #ThisIsUs and for having great flight attendants on my flight back home!",@115909 We're glad you got to kick back and enjoy a show while flying! Thanks for your kind words.,1065,1064,Booking & Payment
@AmericanAir's wifi makes Amtrak's wifi look pro. At least theirs is free.  @5804 has decent wifi @ reasonable prices. Why not AA?,@116142 We never want your experience to be anything less than perfect. We're sorry the Wi-Fi was slower than expected.,1917,1916,Onboard Services
"Wonderful club! @americanair (@ American Airlines Admirals Club in San Francisco, CA) https://t.co/GWFwuGVgNA","@116143 Thanks for the shout-out and for stopping by, Marc! We'll pass this on to our SFO Admirals Club managers.",1919,1918,Other / General Support
"@AmericanAir already did...changed browsers, did all my techie tricks and still can't make a reservation after 1 hour!!",@116144 They'll be more than happy to walk you through it and help with the booking process.,1921,1923,Loyalty / AAdvantage
@AmericanAir ........still....on....hold.....they made the booking. I am trying to pay.....so #frustrating.,@116144 We're sorry for the long wait. The next available agent will be with you as soon as possible.,1925,1926,Other / General Support
@AmericanAir well now i am told the ticket cost is an additional $200/person to pay....because of the wait....omg,@116144 Fares sell in real time. We're sorry we weren't able to snag the lower fare for you.,1927,1928,Booking & Payment
@AmericanAir finally booked and they honored lower fare....that was still available on line,@116144 We're glad our Reservations team was able to help.,1930,1931,Seats & Upgrades
Trying to book a flight on @AmericanAir and an error comes up: System having trouble. Anyone else having problem?,@116144 We're sorry for any difficulties that you've experienced. Please contact our Web Technical Support folks at 800-222-2377.,1922,1920,Other / General Support
@AmericanAir Well how much does that help me now?,@116145 We're sorry for your frustration. Any damage must be assessed in person within 24 hours of arrival by airport personnel.,1935,1934,Booking & Payment
@AmericanAir I was long gone from the airport by then,@116145 An airport agent will be happy to take a look at your bag to assist with a claim but damage must be assessed in person.,1937,1936,Baggage
@AmericanAir No I was not able to,"@116145 Our team will need to assess the damage in person, please see an agent for assistance.",1939,1938,Flight Disruption
Look what @AmericanAir did to my bag. https://t.co/QUeBqf8JJf,@116145 We always want to take care of your bags. We're you able to file a claim with our Baggage team?,1941,1940,Baggage
Big thx 2 @AmericanAir 4 guacamole and margs of thx while the @116147 lounge upgrades are underway #nomnom https://t.co/PCW4Vdxbyf,@116146 We're happy when you're happy! That sure does look delicious.,1945,1944,Seats & Upgrades
"@AmericanAir Like, any?",@116415 You'd have to speak with our crew and ask what is available. It would need to be in the same cabin and in the same type of seat.,3090,3094,Flight Disruption
"@AmericanAir Oh, my god, she’s been going for ten minutes.",@116415 We always want everyone to be comfy. You can ask our crew about any available open seats.,3091,3088,Onboard Services
@AmericanAir - I give you grief when things go poorly.  Here’s some credit: The guacamole in the Admirals Club is an outstanding addition. https://t.co/kfjAW6FMTf,"@116417 Oh my, that #guac looks delish! Thanks for always sharing the good and the bad, Kevin. #yummy",3105,3104,Other / General Support
"@AmericanAir I'm aware. Fits in overhead.This was a return trip. Had same luggage going. This was pre-security. Gate chck, ok, but Empty overheads on flt",@116418 We'd like to share this feedback. Please DM your record locator.,3107,3106,Baggage
"@AmericanAir Despite flying w/ same from EWR, forced @ MIA to check guitar &amp; charged $25. Not @ gate, B4 security. Flt not full. WHY?",@116418 Your guitar must fit underneath the seat in front of you or in an overhead bin. Please see details here: https://t.co/AqqDo7qAE3.,3109,3108,Check-in & Airport
Yo @AmericanAir why are there fifteen empty business class seats and only one person that got upgraded? #Weak #NoTreat? #ThenTrickItIs,@116419 Please share your record locator via DMs and we can take look.,3111,3110,Seats & Upgrades
Still waiting on @AmericanAir to compensate for all the crap they put @58 and I through on our honeymoon...almost a year ago. 🤔,"@116420 Did you file a report with us? If you did, please send us a DM and include that in so we can take a look.",3114,3112,Flight Disruption
@AmericanAir I’d still rather have a screen though. Rather not cause neck problems looking down all flight at a tablet,@116565 We appreciate your feedback!,3573,3575,Other / General Support
Really @AmericanAir.. 7hour international flight and no seat back entertainment screens.. c’mon,"@116565 We hear you, Liam. We're working as fast as we can to update our fleet and will soon have super fast Wi-Fi to stream movies.",3574,3572,Seats & Upgrades
@AmericanAir Just have to say the Flight Attenants on Flight 1361 from BDL to ORD we’re awesome! Gate agents at BDL also! They need a shout out for awesome customer service! Treated this NonRev very well!!,@116566 Thanks for your kind words! We hope you have a fantastic evening.,3577,3576,Other / General Support
"@AmericanAir En todos los años que tengo volando con #AA nunca había tenido una experiencia como la de ayer 24 vuelo 914 Caracas-Miami. La peor tripulación, desagradable, descortés y con poca vocación de servicio. #NOCALIDAD  #servicio","@116567 We're very sorry about that, Perla. We always want your experience to go smoothly.",3579,3578,Seats & Upgrades
@AmericanAir Yes I see that. Your app says the incoming flight arrives at 10:05 so how are we going to take off at 10:10? https://t.co/vZxyxOa1xo,"@116568 That's the most current info, but if there is any further update our gate team will provide it as it becomes available.",3582,3580,Flight Disruption
@AmericanAir what’s going on with flight 301 DTW &gt; DFW? Delayed over 3 hours. Will it be canceled?,@116568 Looks like it has a maintenance delay and it's currently scheduled to take off at 10:10p.,3585,3584,Flight Disruption
"@AmericanAir Not only has my family, and several other families been inconvenienced by @AmericanAir  today - this is now 16 flights in one year with only 5 ""on time"" departures.","@116569 Our offer still stands to assist, Andrew.",3588,3590,Flight Disruption
@AmericanAir I have flown @AmericanAir 15 times in the past 12 months and only departed on schedule 4 times.,@116569 Our crew is there to serve you and not deceive you in any way. We're also here to help so please share your flight details via DMs.,3589,3586,Other / General Support
"@AmericanAir stuck on flight 609 in Charlotte over 55 minutes due to a computer card tech issue while pilot repeatedly advised it would only take a ""few minutes"" to fix. Why wasn't this issue reported by previous pilot that arrived minutes b4 we boarded in effort to save time?",@116569 We're sorry for the delay. The previous pilot may not have been aware of the problem. We appreciate your patience.,3594,3593,Flight Disruption
@AmericanAir I was forced to check my small suitcase. Never happened before.  There was plenty of storage space too. Fml,"@116570 Please DM your record locator, we'd like to forward this feedback.",3596,3595,Other / General Support
"Give me and the 50,000 other people our bags @AmericanAir! #travelwoes #longestday","@116570 We're sorry for the extended travel time today, Ally. Our team is working hard to reunite you with your bags.",3598,3597,Baggage
@AmericanAir Shame on you and your company,@116571 We're going to forward this to our flight service leadership team for appropriate review.,3601,3599,Refund & Compensation
"@AmericanAir I just got off one of your flights AA1792 from Portland. The gentlemen in front of my 3 year old son, decided to rip at his feet for pressing them against his seat. When I confronted the coward verbally your stewardesses did absolutely nothing...",@116571 We expect all of our flyers to be courteous to each other and sadly this gentleman wasn't today.,3603,3604,Seats & Upgrades
The audacity of @AmericanAir 1416 landing early tonight. I might have to negotiate a shared ride cause there’s no taxis. #Talesfromthetaxi,"@116572 We see you're arriving just a few minutes early, we're always working to get you to your destination as soon as possible.",3607,3606,Other / General Support
@AmericanAir I had to end my trip way sooner than expected. :( Bought a new flight because it was way cheaper than changing my return. What do I need to do to cancel my return so someone can have that seat?,"@116573 Hi, Matt, we've your info but we'd like to verify which trip you'd like to cancel. Please DM your record locator with the unwanted return.",3609,3608,Flight Disruption
Thank you @AmericanAir for being responsive and helpful and more than making up for a bad flight!  #stayingloyal @Delta,@116574 Thanks for your loyalty! It means the world to us.,3611,3610,Onboard Services
"@AmericanAir if I have the platinum select aadvantage card and I purchased an int’l ticket through your site but it ended up being on British Air, will I still retain the same benefits of my aadvantage card on this flight (I.e, early boarding)?","@116575 You wouldn't get those perks on BA, Martin.",3613,3612,Loyalty / AAdvantage
"@AmericanAir Let’s see if your social media team will respond here, as they obviously overlook negative feedback on Facebook. #AmericanAirlines #NoResponse https://t.co/dzWB2HPGDQ","@116576 Our sincere apologies for any last minute gate changes, we know that's not fun. Please let us know if we can help here.",3616,3614,Other / General Support
@AmericanAir Exactly as seen on our flight.  #GetSomeRealPoliciesAndEnforceThem https://t.co/A7nkJqqQ7S,"@116577 We apologize for the inconvenience. Travelers submit their paperwork to us, but aren't required to show it to everyone on board.",3618,3617,Flight Disruption
@AmericanAir thanks for awesome flight home #Dreamliner https://t.co/ArQkp3oZh2,@116578 She sure is a gorgeous bird!,3620,3619,Booking & Payment
@AmericanAir FEELS https://t.co/C11gLTRJ4f,@116579 #ALLLLLTheFeelz,3625,3626,Seats & Upgrades
"#aws #reInvent stating off right, standby early on @AmericanAir and a Super80! Missed you buddy #AllTheFeelz https://t.co/beW63HtC9e",@116579 Thanks for joining us on board!,3623,3621,Other / General Support
Hey @AmericanAir! Rocky here on flight AA2254. We were supposed to depart at 6:07PM but it is now 6:54PM and the crew just informed us that our captain is missing. Oh and not to mention we also had a maintenance issue. Hope to make it to NYC safe and sound. #disappointed,"@116580 We're sorry for the extra travel time today, Rocky. Please DM us your record locator and well take a look.",3630,3629,Loyalty / AAdvantage
"@AmericanAir You’re missing my point.  Numerous people tripped over the dog, not to mention anyone who might have been allergic.  When did you change your policy to allow any size dog into cabins for any/no reason?",@116577 Any dogs you see outside of a kennel are either service or emotional support animals.,3635,3632,Booking & Payment
@AmericanAir I love dogs but they don’t belong in #airplane #cabins.  It was bad enough when anyone could say they had a #therapypet.  I can’t keep my small bag in the #bulkhead row but the woman next to me can have her 40lb dog?,"@116577 We're sorry for the inconvenience, Nick. Did you ask a crew member if you could move to another seat?",3638,3637,Baggage
@AmericanAir It’s fine. The people on line handled fantastic. I would just hope that all are empowered to make decisions to help the customer.,"@116682 We're glad that our team was able to help, but we appreciate this feedback.",4064,4066,Booking & Payment
When I email @AmericanAir I get the best customer service. Why the people on the phone aren't enabled to do the same just baffles me.,"@116682 Our service should be consistent all across the board, Stuart. So sorry if you experienced otherwise.",4065,4063,Loyalty / AAdvantage
Anyone who needs to book a flight for our wedding: DO IT NOW! Round trip only $85 with @AmericanAir 💍✈️,@116683 Congrats on getting married! We're looking forward to having lots of excited wedding guests. That's a fantastic deal!,4068,4067,Flight Disruption
@AmericanAir Charging me $50 dollars to bring in a gift bag today was uncalled for. I can fly with anyone. I’m done just throwing money away.,@116684 It sounds like you had a Basic Economy ticket. You're only able to have one personal item underneath the seat when you have this ticket type,4070,4072,Baggage
Today is the day that @AmericanAir lost my business for the rest of my life as well as everyone in my family.,"@116684 Whoa, what's going on that you're feeling this way towards us?",4071,4069,Other / General Support
"@AmericanAir just sent me an email giving me 20k miles for a flight delay I complained about on Twitter. Nice job, my friends.",@116938 We're glad that our team was able to help. Have a fantastic evening!,5335,5334,Refund & Compensation
LAS - PHL 734 1135am @AmericanAir not 1 smile between the whole crew &amp; your terminal for PHL-DUB flight is awful!,@117155 We have some of the best crew in the business and want you to know that we're glad to have you fly with us today. #smilesfromustoyou!,6556,6555,Flight Disruption
@AmericanAir Typical empty answers. I wasn't expecting a resolution but you may want to be careful as you will allienate your customers along the way.,"@117161 We're truly sorry this has been your experience with us, as we always try to truly hear our customer feedback. We hope you remain loyal.",6599,6601,Flight Disruption
@AmericanAir #greed comes to mind every time I fly with you. I am considering switching to @Delta even if it means longer flights as they rock!,"@117161 We try to upgrade as much as possible and will continue to do that. Our apologies that you haven't got upgraded as much as you'd like, Wael.",6600,6598,Onboard Services
"I am an @AmericanAir frequent flyer and I can attest that they suck
The Best Frequent Flyer Programs to Strive For https://t.co/5hMhrGuYvJ","@117161 We never want you to feel this way, and appreciate the feedback you provide!",6604,6602,Loyalty / AAdvantage
"@AmericanAir Was my wife/mom. We couldn't believe it! Then she proceeded to try to tell us how to parent our children. Our children, 6 and 4 were perfect",@117169 Our sincere apologies for any rudeness. We welcome all families to fly with us and want this to be an exciting experience for your kids.,6624,6623,Flight Disruption
